"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Thon Maker",3600,"CLE@MIL 10/20/2017 07:00PM ET",9.306,"MIL"
"PG/SG","Jordan Crawford",3600,"GS@NO 10/20/2017 09:30PM ET",21.663,"NO"
"PG/SG","Shaun Livingston",3600,"GS@NO 10/20/2017 09:30PM ET",11.275,"GS"
"PG/SG","Josh Hart",3500,"LAL@PHO 10/20/2017 10:00PM ET",0,"LAL"
"PF/C","Al Jefferson",3500,"POR@IND 10/20/2017 07:00PM ET",15.325,"IND"
"PF/C","Domantas Sabonis",3500,"POR@IND 10/20/2017 07:00PM ET",13.295,"IND"
"PF/C","Noah Vonleh",3500,"POR@IND 10/20/2017 07:00PM ET",13.077,"POR"
"PG/SG","Spencer Dinwiddie",3500,"ORL@BKN 10/20/2017 07:30PM ET",17.617,"BKN"
"SG","Mario Hezonja",3500,"ORL@BKN 10/20/2017 07:30PM ET",10.545,"ORL"
"C","Mike Muscala",3500,"ATL@CHA 10/20/2017 07:00PM ET",13.853,"ATL"
"SG","Marco Belinelli",3500,"ATL@CHA 10/20/2017 07:00PM ET",18.120,"ATL"
"SG/SF","Tony Snell",3500,"CLE@MIL 10/20/2017 07:00PM ET",16.364,"MIL"
"C","John Henson",3500,"CLE@MIL 10/20/2017 07:00PM ET",17.427,"MIL"
"C","Zaza Pachulia",3500,"GS@NO 10/20/2017 09:30PM ET",17.235,"GS"
"PG/SG","Langston Galloway",3500,"DET@WAS 10/20/2017 07:00PM ET",14.164,"DET"
